"","School Name","Location","State Ranking","National Ranking","Information","NA1","Graduation Rate","NA2","College Readiness","NA3","Enrollment 9-12","NA4"
"1","The Early College at Guilford","Greensboro, NC | Guilford County Schools"," #1 in North Carolina Rankings","#37 in National Rankings","At The Early College at Guilford, high school students can graduate with two years of college credit from Guilford College, a private liberal arts institution. Because of this partnership, the curriculum is writing intensive, and students in the ninth and 10th grade take honors and Advanced Placement courses. Students in 11th and 12th grade take college courses with undergraduates taught by college professors, including organic chemistry, linear algebra, modern art, health economics and more. Service learning is encouraged, and students can start clubs and organizations. The Early College at Guilford does not have athletic teams, but students can join teams in their attendance zone. more","School Data","100%","GRADUATION RATE","93.6","COLLEGE READINESS","199","ENROLLMENT 9-12"
"2","Raleigh Charter High School","Raleigh, NC | Raleigh Charter High School"," #2 in North Carolina Rankings","#111 in National Rankings","Raleigh Charter High School is ranked second within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Raleigh Charter High School is 96%. The total minority enrollment is 37%, and 5% of students are economically disadvantaged. Raleigh Charter High School is the only high school in the Raleigh Charter High School. more","School Data","99%","GRADUATION RATE","90.3","COLLEGE READINESS","562","ENROLLMENT 9-12"
"3","STEM Early College at N.C. A&T","Greensboro, NC | Guilford County Schools"," #3 in North Carolina Rankings","#128 in National Rankings","STEM Early College at N.C. A&T is ranked third within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at STEM Early College at N.C. A&T is 100%. The total minority enrollment is 79%, and 24% of students are economically disadvantaged. STEM Early College at N.C. A&T is 1 of 34 high schools in the Guilford County Schools. more","School Data","100%","GRADUATION RATE","77.3","COLLEGE READINESS","179","ENROLLMENT 9-12"
"4","Philip J. Weaver Ed Center","Greensboro, NC | Guilford County Schools"," #4 in North Carolina Rankings","#138 in National Rankings","Philip J. Weaver Ed Center is ranked fourth within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Philip J. Weaver Ed Center is 100%. The total minority enrollment is 38%, and 19% of students are economically disadvantaged. Philip J. Weaver Ed Center is 1 of 34 high schools in the Guilford County Schools. more","School Data","100%","GRADUATION RATE","91.5","COLLEGE READINESS","258","ENROLLMENT 9-12"
"5","Woods Charter","Chapel Hill, NC | Woods Charter School"," #5 in North Carolina Rankings","#142 in National Rankings","Woods Charter is ranked fifth within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Woods Charter is 98%. The total minority enrollment is 18%, and 6% of students are economically disadvantaged. Woods Charter is the only high school in the Woods Charter School. more","School Data","92%","GRADUATION RATE","82.8","COLLEGE READINESS","182","ENROLLMENT 9-12"
"6","Penn-Griffin Schools","High Point, NC | Guilford County Schools"," #6 in North Carolina Rankings","#197 in National Rankings","Penn-Griffin Schools is ranked sixth within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Penn-Griffin Schools is 95%. The total minority enrollment is 74%, and 60% of students are economically disadvantaged. Penn-Griffin Schools is 1 of 34 high schools in the Guilford County Schools. more","School Data","100%","GRADUATION RATE","60.5","COLLEGE READINESS","156","ENROLLMENT 9-12"
"7","Thomas Jefferson Class Academy","Mooresboro, NC | Thomas Jefferson Classical Academy"," #7 in North Carolina Rankings","#277 in National Rankings","Thomas Jefferson Class Academy is ranked seventh within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Thomas Jefferson Class Academy is 87%. The total minority enrollment is 20%, and 7% of students are economically disadvantaged. Thomas Jefferson Class Academy is the only high school in the Thomas Jefferson Classical Academy. more","School Data","96%","GRADUATION RATE","79.5","COLLEGE READINESS","346","ENROLLMENT 9-12"
"8","Marvin Ridge High","Waxhaw, NC | Union County Public Schools"," #8 in North Carolina Rankings","#368 in National Rankings","Marvin Ridge High is ranked eighth within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Marvin Ridge High is 70%. The total minority enrollment is 18%, and 2% of students are economically disadvantaged. Marvin Ridge High is 1 of 13 high schools in the Union County Public Schools. more","School Data","100%","GRADUATION RATE","63.9","COLLEGE READINESS","1,664","ENROLLMENT 9-12"
"9","Lake Norman Charter","Huntersville, NC | Lake Norman Charter"," #9 in North Carolina Rankings","#407 in National Rankings","Lake Norman Charter is ranked ninth within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Lake Norman Charter is 77%. The total minority enrollment is 28%, and 3% of students are economically disadvantaged. Lake Norman Charter is the only high school in the Lake Norman Charter. more","School Data","98%","GRADUATION RATE","66.2","COLLEGE READINESS","805","ENROLLMENT 9-12"
"10","Providence High","Charlotte, NC | Charlotte-Mecklenburg Schools"," #10 in North Carolina Rankings","#425 in National Rankings","Providence High is ranked 10th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Providence High is 75%. The total minority enrollment is 27%, and 9% of students are economically disadvantaged. Providence High is 1 of 35 high schools in the Charlotte-Mecklenburg Schools. more","School Data","98%","GRADUATION RATE","67.8","COLLEGE READINESS","2,048","ENROLLMENT 9-12"
"11","East Chapel Hill High","Chapel Hill, NC | Chapel Hill-Carrboro City Schools"," #11 in North Carolina Rankings","#441 in National Rankings","East Chapel Hill High is ranked 11th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at East Chapel Hill High is 86%. The total minority enrollment is 49%, and 19% of students are economically disadvantaged. East Chapel Hill High is 1 of 5 high schools in the Chapel Hill-Carrboro City Schools. more","School Data","94%","GRADUATION RATE","75.2","COLLEGE READINESS","1,376","ENROLLMENT 9-12"
"12","Ardrey Kell High","Charlotte, NC | Charlotte-Mecklenburg Schools"," #12 in North Carolina Rankings","#472 in National Rankings","Ardrey Kell High is ranked 12th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Ardrey Kell High is 75%. The total minority enrollment is 41%, and 10% of students are economically disadvantaged. Ardrey Kell High is 1 of 35 high schools in the Charlotte-Mecklenburg Schools. more","School Data","98%","GRADUATION RATE","67.9","COLLEGE READINESS","2,991","ENROLLMENT 9-12"
"13","Wake NCSU STEM Early College High School","Raleigh, NC | Wake County Schools"," #13 in North Carolina Rankings","#601 in National Rankings","Wake NCSU STEM Early College High School is ranked 13th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Wake NCSU STEM Early College High School is 83%. The total minority enrollment is 49%, and 17% of students are economically disadvantaged. Wake NCSU STEM Early College High School is 1 of 30 high schools in the Wake County Schools. more","School Data","100%","GRADUATION RATE","51.0","COLLEGE READINESS","222","ENROLLMENT 9-12"
"14","Cato Middle College High","Charlotte, NC | Charlotte-Mecklenburg Schools"," #14 in North Carolina Rankings","#605 in National Rankings","Cato Middle College High is ranked 14th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Cato Middle College High is 67%. The total minority enrollment is 75%, and 31% of students are economically disadvantaged. Cato Middle College High is 1 of 35 high schools in the Charlotte-Mecklenburg Schools. more","School Data","100%","GRADUATION RATE","47.5","COLLEGE READINESS","202","ENROLLMENT 9-12"
"15","Weddington High","Matthews, NC | Union County Public Schools"," #15 in North Carolina Rankings","#637 in National Rankings","Weddington High is ranked 15th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Weddington High is 73%. The total minority enrollment is 18%, and 6% of students are economically disadvantaged. Weddington High is 1 of 13 high schools in the Union County Public Schools. more","School Data","99%","GRADUATION RATE","56.1","COLLEGE READINESS","1,362","ENROLLMENT 9-12"
"16","Central Academy of Technology and Arts","Monroe, NC | Union County Public Schools"," #16 in North Carolina Rankings","#642 in National Rankings","Central Academy of Technology and Arts is ranked 16th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Central Academy of Technology and Arts is 62%. The total minority enrollment is 26%, and 19% of students are economically disadvantaged. Central Academy of Technology and Arts is 1 of 13 high schools in the Union County Public Schools. more","School Data","100%","GRADUATION RATE","48.8","COLLEGE READINESS","834","ENROLLMENT 9-12"
"17","Northwest School of the Arts","Charlotte, NC | Charlotte-Mecklenburg Schools"," #17 in North Carolina Rankings","#694 in National Rankings","Northwest School of the Arts is ranked 17th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Northwest School of the Arts is 79%. The total minority enrollment is 65%, and 40% of students are economically disadvantaged. Northwest School of the Arts is 1 of 35 high schools in the Charlotte-Mecklenburg Schools. more","School Data","98%","GRADUATION RATE","54.6","COLLEGE READINESS","590","ENROLLMENT 9-12"
"18","Chapel Hill High","Chapel Hill, NC | Chapel Hill-Carrboro City Schools"," #18 in North Carolina Rankings","#717 in National Rankings","Chapel Hill High is ranked 18th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Chapel Hill High is 76%. The total minority enrollment is 45%, and 21% of students are economically disadvantaged. Chapel Hill High is 1 of 5 high schools in the Chapel Hill-Carrboro City Schools. more","School Data","88%","GRADUATION RATE","66.4","COLLEGE READINESS","1,516","ENROLLMENT 9-12"
"19","Pine Lake Preparatory","Mooresville, NC | Pine Lake Preparatory"," #19 in North Carolina Rankings","#758 in National Rankings","Pine Lake Preparatory is ranked 19th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Pine Lake Preparatory is 77%. The total minority enrollment is 13%. Pine Lake Preparatory is the only high school in the Pine Lake Preparatory. more","School Data","98%","GRADUATION RATE","57.4","COLLEGE READINESS","611","ENROLLMENT 9-12"
"20","Franklin Academy","Wake Forest, NC | Franklin Academy"," #20 in North Carolina Rankings","#762 in National Rankings","Franklin Academy is ranked 20th within North Carolina. Students have the opportunity to take Advanced Placement¢ç coursework and exams. The AP¢ç participation rate at Franklin Academy is 65%. The total minority enrollment is 16%, and 11% of students are economically disadvantaged. Franklin Academy is the only high school in the Franklin Academy. more","School Data","97%","GRADUATION RATE","56.9","COLLEGE READINESS","506",NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
